28546	24800	26890	20677	1656	4123
1555	5576	1089	4749	466	827
17389	9459	14629	8815	2760	644
4773	5712	3613	4874	1160	838
1039	10	1039	10	0	0
5038	8430	3075	7797	1963	633
5639	9383	4631	7856	1008	1527
13276	14319	12837	11885	439	2434
171	140	171	140	0	0
1803	2048	1803	2048	0	0
1897	5415	1256	3396	641	2019
1787	3687	1421	3687	366	0
7913	14390	7517	13735	396	655
3324	11977	2879	11208	445	769
25864	17561	24272	16763	1592	798
337	1839	337	1839	0	0
11040	11660	10716	8158	324	3502
8395	7206	7179	5831	1216	1375
6742	16012	5913	15494	829	518
752	5200	752	5200	0	0
3555	5854	3546	5854	9	0
2486	4751	2444	3931	42	820
5317	7428	5257	7219	60	209
3941	1648	3697	1553	244	95
2168	7187	1674	2802	494	4385
883	3559	847	2951	36	608
24159	23753	23777	23405	382	348
657	2175	319	401	338	1774
4286	7253	4286	7253	0	0
3541	9133	2844	7871	697	1262
2131	7063	1763	5706	368	1357
102	168	102	168	0	0
972	920	972	920	0	0
192	633	192	633	0	0
777	2685	559	2289	218	396
482	2698	482	2698	0	0
5732	17424	4180	14571	1552	2853
2061	1727	1685	1174	376	553
3858	11072	3748	10277	110	795
1624	6014	1251	2843	373	3171
1056	766	669	766	387	0
5844	9409	5758	9389	86	20
1444	5463	1178	2443	266	3020
869	2144	489	887	380	1257
4659	4426	3488	4178	1171	248
2681	6773	1956	5516	725	1257
7279	6983	5757	4045	1522	2938
4895	5515	3857	4624	1038	891
540	1767	511	1767	29	0
3317	7507	2854	7010	463	497
1348	840	1134	840	214	0
636	1611	501	1611	135	0
7090	17618	5951	15008	1139	2610
4095	2851	4095	2851	0	0
1061	5912	1061	3664	0	2248
1819	2639	1796	2639	23	0
902	374	902	374	0	0
2013	2477	1704	2454	309	23
1407	3854	686	3537	721	317
3451	4276	2085	3456	1366	820
7960	4315	6548	4107	1412	208
16535	12033	14126	11628	2409	405
1003	2048	1003	2048	0	0
2487	8280	2339	7817	148	463
7119	3379	7117	3379	2	0
2579	2653	1740	1948	839	705
2167	1048	1007	642	1160	406
19263	18285	18099	17609	1164	676
1707	3779	1543	3779	164	0
6077	8894	5611	6071	466	2823
3265	2749	1506	1828	1759	921
14843	6437	13461	5325	1382	1112
5027	7480	4682	7130	345	350
1624	3756	1579	3708	45	48
316	2499	316	2499	0	0
8214	8459	8108	8359	106	100
17789	18171	16754	16905	1035	1266
2698	2274	1339	1644	1359	630
4146	2260	3555	1762	591	498
17162	12633	15415	10257	1747	2376
498	1196	400	1006	98	190
18192	13656	16809	12369	1383	1287
2051	4639	1666	3461	385	1178
6639	15392	6439	14454	200	938
5044	4729	3946	4094	1098	635
424	3844	351	3527	73	317
5146	3232	4843	2947	303	285
1328	4873	1195	3760	133	1113
2248	3328	2015	2789	233	539
12888	11105	12386	9651	502	1454
2440	1172	2170	854	270	318
518	4365	518	4365	0	0
1249	590	1249	590	0	0
1563	6067	1060	3595	503	2472
7846	6765	6522	5474	1324	1291
836	2196	538	1415	298	781
279	489	279	489	0	0
2149	4580	1964	4198	185	382
1964	0	1964	0	0	0
3684	2815	2019	2340	1665	475
340	386	340	386	0	0
934	4675	744	3715	190	960
4768	3355	3602	2887	1166	468
12130	8041	10934	7490	1196	551
225	2902	225	2902	0	0
1239	7964	708	4057	531	3907
2879	5782	2649	4288	230	1494
3392	3015	2713	2517	679	498
319	1272	319	1272	0	0
3082	1013	3082	1013	0	0
1172	1173	1172	1173	0	0
986	346	986	346	0	0
1241	3410	1036	2753	205	657
15834	10265	15161	10107	673	158
1038	4984	909	4597	129	387
9581	7874	8465	6915	1116	959
368	3138	306	3138	62	0
3964	1344	3508	1158	456	186
3709	6200	3048	4238	661	1962
2476	513	1978	513	498	0
4905	1197	4815	797	90	400
9453	8126	8775	7033	678	1093
5707	9109	4963	6525	744	2584
2424	2510	1668	2218	756	292
3828	3216	2395	2612	1433	604
933	5276	792	4435	141	841
983	4699	745	3120	238	1579
6332	7029	4708	5214	1624	1815
4674	6335	4343	5079	331	1256
4952	7002	4355	6383	597	619
705	747	705	747	0	0
1051	5972	778	4674	273	1298
2639	5746	2177	1865	462	3881
5223	2996	4332	2996	891	0
3633	5673	1932	3937	1701	1736
202	1097	202	1097	0	0
830	6227	492	4736	338	1491
1439	2469	1439	2469	0	0
19849	10157	19272	10157	577	0
5964	9628	5869	9088	95	540
1773	7734	1357	5570	416	2164
688	4449	662	4187	26	262
3155	9526	2857	7474	298	2052
3228	2795	2321	2143	907	652
4682	5231	3682	5069	1000	162
303	2192	217	1940	86	252
703	895	703	895	0	0
4329	8311	3167	6957	1162	1354
279	2676	237	2376	42	300
2565	7964	2565	7964	0	0
3195	5014	2448	3985	747	1029
4149	8529	3831	7457	318	1072
675	3298	648	3298	27	0
623	3726	623	3653	0	73
2462	6883	2308	6421	154	462
16	685	16	685	0	0
1573	2849	1547	2734	26	115
11999	8256	11617	7923	382	333
2065	3934	992	2747	1073	1187
3759	3246	3637	3027	122	219
122	453	122	453	0	0
347	537	347	537	0	0
3781	3513	3259	3513	522	0
8966	15041	8368	14054	598	987
387	2221	254	1639	133	582
3693	6133	2653	4919	1040	1214
3406	14261	2942	12919	464	1342
13021	12378	11364	11241	1657	1137
143	20	143	20	0	0
291	536	291	536	0	0
9079	6036	8760	4486	319	1550
615	1074	615	1074	0	0
3438	2234	2750	1893	688	341
3135	2546	2989	2546	146	0
1575	6973	1529	5798	46	1175
6351	3471	5693	3471	658	0
145	285	145	285	0	0
2022	4641	1637	3463	385	1178
156	155	156	155	0	0
1633	935	1633	935	0	0
1001	166	1001	166	0	0
3032	6760	3032	6760	0	0
20178	12320	18215	7614	1963	4706
1053	2711	444	2329	609	382
504	3268	302	1807	202	1461
12970	15959	10317	12824	2653	3135
626	2302	475	2302	151	0
4970	8606	4420	6951	550	1655
2714	2284	2643	2096	71	188
4771	16494	4071	13735	700	2759
2724	2172	2652	2172	72	0
93	27	93	27	0	0
6947	9482	6224	8470	723	1012
15438	12029	14130	11191	1308	838
2842	5338	1730	4500	1112	838
19657	11191	19509	11191	148	0
2600	6137	1510	4456	1090	1681
155	463	45	463	110	0
3652	7858	3287	5724	365	2134
3113	4777	1855	4345	1258	432
10902	9118	9573	7924	1329	1194
1167	5358	494	3537	673	1821
3363	2547	3150	2511	213	36
1076	3316	1076	3316	0	0
374	1698	374	1698	0	0
2442	3062	2442	3062	0	0
3818	5016	3752	4560	66	456
2015	1746	1889	1746	126	0
1439	1372	1411	1372	28	0
1823	4613	1769	4466	54	147
1111	4509	980	2958	131	1551
158	1559	158	1559	0	0
6666	8850	6666	8850	0	0
5959	6050	5185	5392	774	658
3078	6452	2268	5187	810	1265
4471	6015	3851	5516	620	499
4583	12365	4323	12085	260	280
1853	1064	1793	1064	60	0
70	1843	70	1843	0	0
3264	10767	3082	10469	182	298
266	773	200	284	66	489
9501	5875	8158	5875	1343	0
4853	11219	4187	9273	666	1946
326	445	196	445	130	0
6347	16510	5543	13995	804	2515
1320	928	1320	928	0	0
387	3790	387	3790	0	0
10592	8176	9779	7829	813	347
608	4837	541	4290	67	547
4142	6713	3414	6685	728	28
1297	3695	1099	3640	198	55
4714	1964	4192	1964	522	0
2189	10637	2062	10637	127	0
628	3403	411	2438	217	965
548	4418	514	4156	34	262
3051	6846	3051	6846	0	0
13665	5817	11917	5106	1748	711
1839	3114	1469	2969	370	145
1918	3569	1533	2391	385	1178
4181	6617	3833	5489	348	1128
4258	7437	3748	7192	510	245
363	2713	270	1888	93	825
11672	9406	11205	9284	467	122
352	3162	256	2471	96	691
2549	11159	1824	8159	725	3000
3208	5170	2190	2018	1018	3152
1322	2213	1027	1772	295	441
560	1033	536	909	24	124
1343	262	1284	262	59	0
1684	4985	1020	2759	664	2226
14580	9972	13192	9422	1388	550
285	404	285	404	0	0
562	4650	363	3502	199	1148
1892	8293	876	4532	1016	3761
467	4193	286	2231	181	1962
5991	4815	3477	1733	2514	3082
1230	6271	795	4278	435	1993
2971	3400	2802	3259	169	141
1198	4776	1086	3141	112	1635
3432	10822	2882	8955	550	1867
3685	1589	2984	1541	701	48
636	428	628	383	8	45
1770	3470	1438	3008	332	462
545	2432	436	2092	109	340
1173	2984	690	2141	483	843
433	239	428	166	5	73
5965	6956	4840	4087	1125	2869
1058	1545	685	1544	373	1
2019	4707	1462	3153	557	1554
4072	14187	3952	13966	120	221
4364	5807	2688	4793	1676	1014
2710	11873	2430	9732	280	2141
1023	3329	870	3329	153	0
665	5085	113	3370	552	1715
1838	1764	1838	1764	0	0
864	1047	864	1047	0	0
935	1278	823	12	112	1266
9146	2625	6757	1741	2389	884
7120	4122	6664	3057	456	1065
599	1286	486	1286	113	0
1642	2988	1300	2988	342	0
4502	10430	3879	8956	623	1474
6865	9228	3960	6226	2905	3002
462	2023	359	1534	103	489
6561	5513	5324	4430	1237	1083
3389	1708	2406	1352	983	356
1897	7121	1628	6582	269	539
1117	852	1117	852	0	0
1211	5654	1211	5654	0	0
1357	1425	1296	1411	61	14
883	717	851	717	32	0
295	1625	295	1625	0	0
3354	3110	3273	2290	81	820
4254	1771	3557	1345	697	426
4727	10150	4441	8860	286	1290
5161	4568	5070	4453	91	115
20078	21496	18083	20510	1995	986
1561	224	951	224	610	0
5376	6011	4696	4799	680	1212
4041	3293	2938	2150	1103	1143
123	454	123	454	0	0
7609	3883	6803	3051	806	832
2042	5700	1654	4076	388	1624
643	5144	616	4431	27	713
2843	4530	1842	3620	1001	910
873	151	751	151	122	0
1480	4142	724	1704	756	2438
3730	9576	3652	7636	78	1940
1788	7506	1444	5009	344	2497
2900	8456	2640	8305	260	151
5225	5577	4881	4116	344	1461
1396	2429	1309	2289	87	140
240	5924	178	4874	62	1050
1016	784	697	784	319	0
385	4533	322	3174	63	1359
660	300	385	175	275	125
16	1238	16	1238	0	0
7661	23293	7467	22756	194	537
